2009-08-20 01:48:29,181 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:48:29,187 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2009-08-20 01:48:29,337 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:48:29,338 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 01:48:39,255 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:48:39,257 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2009-08-20 01:48:39,261 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:48:39,263 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 01:52:05,307 [Worker-49] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:collaborationbackend:0.0.1-SNAPSHOT @ D:\kavithaproject2\collaborationbackend\pom.xml.
2009-08-20 01:52:08,025 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:52:08,029 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2009-08-20 01:52:08,033 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:52:08,034 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 01:52:08,035 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of collaborationbackend
2009-08-20 01:52:08,035 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for collaborationbackend
2009-08-20 01:52:08,043 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:52:10,110 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:52:10,114 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2009-08-20 01:52:10,142 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 01:52:10,143 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 02:09:51,834 [Worker-55] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for collaborationbackend
2009-08-20 02:09:52,202 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:09:52,204 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2009-08-20 02:09:52,209 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:09:52,211 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 02:09:52,212 [Worker-46] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of collaborationbackend
2009-08-20 02:09:52,212 [Worker-46] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for collaborationbackend
2009-08-20 02:09:52,221 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:15:50,591 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:15:50,593 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2009-08-20 02:15:50,595 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:15:50,597 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 02:15:55,307 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:15:55,308 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2009-08-20 02:15:55,314 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:15:55,316 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 02:17:07,200 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:17:07,202 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2009-08-20 02:17:07,210 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 02:17:07,211 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
